VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-12-01 05:38:20,2020-12-01 05:42:41,1,1.71,1,N,236,162,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
1,2020-12-01 05:43:26,2020-12-01 06:35:40,1,18.10,2,Y,132,161,2,52,2.5,0.5,0,0,0.3,55.3,2.5
2,2020-12-01 05:45:15,2020-12-01 05:53:09,1,1.65,1,N,170,107,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2020-12-01 05:09:37,2020-12-01 05:22:54,2,4.14,1,N,116,236,1,14,0.5,0.5,5.34,0,0.3,23.14,2.5
2,2020-12-01 05:38:10,2020-12-01 05:43:31,1,1.57,1,N,141,75,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2020-12-01 05:59:23,2020-12-01 06:04:07,1,.74,1,N,68,246,2,5,0,0.5,0,0,0.3,8.3,2.5
2,2020-12-01 05:13:45,2020-12-01 05:28:23,1,1.06,1,N,75,87,1,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-12-01 05:10:56,2020-12-01 05:15:09,1,1.15,1,N,236,43,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-12-01 05:35:52,2020-12-01 05:51:47,1,4.44,1,N,148,48,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
1,2020-12-01 05:13:45,2020-12-01 05:39:56,0,18.40,2,N,132,41,1,52,0,0.5,7,6.12,0.3,65.92,0
1,2020-12-01 05:42:27,2020-12-01 05:57:33,0,4.40,1,N,41,244,1,16,0.5,0.5,3,0,0.3,20.3,0
1,2020-12-01 05:57:28,2020-12-01 06:09:39,1,2.90,1,N,186,140,1,11.5,3,0.5,3.8,0,0.3,19.1,2.5
2,2020-12-01 05:40:23,2020-12-01 05:43:18,1,.85,1,N,100,163,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2020-12-01 05:49:50,2020-12-01 05:56:15,1,1.14,1,N,100,161,1,6.5,0.5,0.5,0.01,0,0.3,10.31,2.5
2,2020-12-01 05:07:55,2020-12-01 05:19:53,1,4.95,1,N,249,75,2,15,0.5,0.5,0,0,0.3,18.8,2.5
2,2020-12-01 05:45:29,2020-12-01 05:50:12,1,1.03,1,N,100,170,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2020-12-01 05:42:44,2020-12-01 05:57:11,1,3.62,1,N,237,249,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
1,2020-12-01 05:47:14,2020-12-01 06:03:17,1,4.10,1,Y,137,239,1,15,2.5,0.5,5.45,0,0.3,23.75,2.5
1,2020-12-01 05:44:29,2020-12-01 05:48:13,1,1.00,1,N,48,163,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2020-12-01 05:46:00,2020-12-01 05:58:55,1,4.50,1,N,13,79,1,15.5,3,0.5,3.85,0,0.3,23.15,2.5
